,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,temp
0,1,1,0,1,1,19
1,1,0,0,1,0,17
2,0,1,0,1,0,16
3,1,0,0,0,0,19
4,0,1,1,0,1,10
5,0,0,1,0,0,14
6,0,1,0,1,0,19
7,1,0,1,0,0,8
8,1,1,0,1,0,21
9,1,1,1,0,0,7
10,1,0,1,0,0,3
11,0,0,0,0,1,7
12,0,0,1,0,0,7
13,0,1,0,0,1,9
14,1,0,0,1,1,19
15,0,0,0,1,1,19
16,1,0,0,0,1,8
17,0,0,0,0,0,13
18,0,0,1,1,0,20
19,1,1,0,0,0,7
20,1,1,0,0,0,11
21,0,0,0,1,0,20
22,0,1,1,1,0,8
23,1,1,0,0,0,7
24,1,1,0,1,0,17
25,0,0,0,0,0,24
26,0,0,0,0,1,5
27,0,0,0,0,0,3
28,1,0,1,1,0,0
29,0,0,1,1,1,8
30,0,1,0,1,0,3
31,0,1,0,0,1,0
32,0,1,0,1,0,1
33,1,0,1,0,0,8
34,0,0,0,0,1,20
35,0,0,0,1,1,14
36,1,1,0,1,0,18
37,1,1,0,1,1,11
38,0,0,1,1,1,8
39,0,1,0,1,1,10
40,0,0,0,0,0,24
41,1,0,1,0,0,19
42,0,1,0,1,0,3
43,1,1,0,1,1,16
44,0,0,0,1,1,10
45,1,1,1,0,1,1
46,1,1,0,1,0,20
47,0,1,0,0,1,17
48,0,1,0,1,1,23
49,1,1,1,0,0,10
50,1,0,0,1,0,8
51,1,0,0,1,0,12
52,0,0,0,0,1,4
53,1,1,1,0,1,14
54,0,0,1,0,0,3
55,1,1,0,1,0,23
56,0,0,0,0,0,23
57,1,0,0,1,1,24
58,0,0,1,1,0,1
59,1,1,1,1,1,6
60,0,1,1,0,0,21
61,1,0,1,0,1,12
62,1,1,1,1,1,6
63,0,1,0,1,1,22
64,1,0,1,0,0,1
65,0,0,0,0,0,10
66,0,1,1,1,1,21
67,0,0,1,1,1,15
68,0,1,0,0,0,6
69,0,0,1,1,1,12
70,0,0,1,0,0,8
71,0,1,1,0,1,11
72,0,0,0,1,1,20
73,1,0,1,0,0,18
74,0,1,0,1,1,8
75,0,0,0,1,1,2
76,0,1,1,1,1,9
77,1,0,0,1,1,0
78,0,1,0,1,0,19
79,1,0,0,1,1,0
80,1,0,1,1,0,10
81,0,0,1,0,1,9
82,1,0,0,1,1,21
83,1,0,0,1,1,20
84,0,1,1,1,0,16
85,1,1,1,0,1,17
86,1,0,1,0,1,5
87,0,0,1,0,0,24
88,0,1,1,0,1,23
89,1,1,0,0,0,23
90,0,1,0,1,0,13
91,1,0,1,0,1,6
92,0,0,0,0,1,11
93,0,1,0,1,1,5
94,0,1,0,1,1,10
95,1,1,1,0,0,8
96,1,1,0,0,1,20
97,1,1,1,0,0,14
98,1,0,1,0,1,4
99,1,1,1,0,0,8
100,0,1,0,0,0,20
101,1,1,0,1,1,2
102,0,1,1,0,0,0
103,1,1,0,0,1,19
104,0,0,1,1,0,7
105,1,0,1,1,0,23
106,1,0,0,1,1,15
107,1,0,1,1,0,18
108,1,0,0,0,0,19
109,0,0,0,1,1,19
110,0,0,0,0,0,2
111,0,0,0,0,1,20
112,1,1,0,1,1,22
113,1,1,1,1,0,8
114,1,1,1,0,1,4
115,0,0,1,1,1,7
116,0,0,0,1,0,17
117,1,1,0,0,1,5
118,1,0,0,0,0,1
119,1,1,0,0,1,16
120,0,0,1,1,0,15
121,1,1,1,0,0,22
122,1,1,1,1,1,17
123,0,1,0,1,0,14
124,0,0,0,1,1,10
125,1,1,1,1,0,7
126,0,1,1,0,0,4
127,1,0,0,1,1,7
128,1,1,1,1,1,10
129,1,1,0,1,0,15
130,0,1,0,1,1,14
131,1,1,1,1,1,10
132,0,0,1,1,0,15
133,1,1,0,1,0,13
134,1,0,1,1,1,7
135,1,0,0,0,1,16
136,0,1,0,1,0,11
137,1,1,0,0,0,16
138,1,1,0,0,1,21
139,1,0,0,1,1,5
140,0,1,0,1,1,5
141,1,0,1,1,0,24
142,1,1,1,1,1,10
143,1,0,1,1,1,10
144,0,0,0,1,0,7
145,0,1,0,1,1,6
146,0,1,1,1,0,23
147,1,0,0,1,0,2
148,0,1,1,1,1,16
149,1,0,1,1,0,15
150,0,0,1,0,1,10
151,1,0,1,1,0,2
152,0,0,1,0,1,4
153,1,0,0,0,0,0
154,0,0,1,1,1,20
155,0,0,1,0,1,12
156,0,1,0,1,1,14
157,1,0,0,1,1,8
158,0,0,0,0,0,18
159,0,0,0,0,0,11
160,1,0,1,1,0,12
161,0,1,1,0,1,10
162,1,1,0,0,1,0
163,1,0,1,0,1,7
164,1,0,0,0,1,3
165,1,0,0,1,1,23
166,1,0,1,1,1,9
167,1,0,1,0,0,6
168,1,0,1,1,0,21
169,1,1,1,1,0,11
170,0,1,0,1,1,3
171,0,1,1,0,0,5
172,1,1,0,1,1,23
173,1,0,0,1,0,4
174,0,0,0,0,0,11
175,1,0,1,1,0,8
176,1,0,0,1,0,18
177,1,1,1,1,1,10
178,0,0,0,0,1,5
179,1,0,1,0,0,19
180,0,1,0,0,1,24
181,0,1,0,1,0,12
182,1,0,1,1,1,9
183,1,1,0,0,0,24
184,1,1,0,0,0,1
185,1,0,0,0,0,1
186,0,0,0,0,1,21
187,0,1,1,0,0,17
188,0,0,1,1,0,19
189,1,0,0,1,0,3
190,1,0,0,0,0,9
191,0,1,0,0,1,12
192,1,0,0,1,0,14
193,1,1,1,0,0,11
194,0,1,0,0,1,1
195,0,0,0,0,1,17
196,0,0,1,1,0,2
197,1,0,1,0,0,23
198,0,1,0,0,1,8
199,1,1,1,1,1,3
200,0,0,0,1,1,5
201,0,1,1,1,1,3
202,0,1,0,0,1,0
203,1,0,1,0,1,7
204,0,1,1,1,1,23
205,1,0,0,0,0,18
206,0,0,1,1,1,7
207,0,1,0,1,1,21
208,1,1,0,0,0,12
209,0,1,0,0,0,10
210,0,1,0,1,0,10
211,1,1,0,1,1,8
212,1,1,1,0,1,2
213,0,1,0,0,0,10
214,0,1,0,1,0,7
215,1,1,0,1,1,12
216,1,0,1,1,1,21
217,0,0,0,0,1,10
218,1,0,0,0,1,11
219,0,0,1,1,0,20
220,1,0,0,0,1,20
221,0,1,0,1,1,10
222,1,0,0,0,0,19
223,1,0,1,1,0,20
224,1,0,1,0,0,6
225,0,0,0,0,1,20
226,0,1,1,0,1,19
227,0,1,0,0,0,10
228,1,1,0,0,0,5
229,1,0,1,1,1,3
230,1,1,1,1,1,18
231,0,0,0,1,1,23
232,1,1,1,0,1,2
233,0,0,0,0,1,0
234,1,0,0,1,0,14
235,0,1,1,1,1,9
236,1,0,1,1,1,1
237,0,1,1,1,0,17
238,0,0,1,0,0,14
239,0,1,1,0,1,0
240,0,0,0,0,1,15
241,0,1,1,0,1,8
242,0,0,0,0,0,15
243,1,1,1,1,1,21
244,0,1,1,1,0,21
245,0,1,1,1,1,18
246,0,0,1,1,0,5
247,0,1,1,1,0,23
248,1,0,0,1,0,3
249,0,0,0,1,0,5
250,1,1,1,0,0,15
251,1,0,1,0,1,13
252,1,1,0,1,0,16
253,1,1,0,0,1,3
254,0,0,1,1,0,13
255,1,1,1,0,1,15
256,1,1,1,1,1,6
257,0,0,1,0,0,19
258,0,0,1,0,1,23
259,1,1,0,0,1,0
260,0,1,1,1,0,18
261,0,0,1,1,0,13
262,1,0,1,0,1,8
263,0,1,0,0,0,19
264,0,1,1,1,0,10
265,1,0,1,0,0,10
266,0,1,0,1,1,10
267,0,0,0,0,1,16
268,1,1,0,1,1,21
269,0,1,0,1,0,2
270,1,1,1,1,0,18
271,0,1,1,1,1,8
272,1,1,0,1,1,13
273,0,1,0,0,1,21
274,1,0,0,0,1,5
275,1,1,0,0,0,17
276,1,1,1,1,0,1
277,0,1,1,1,1,6
278,1,1,1,1,0,10
279,1,0,0,1,0,11
280,1,1,1,1,0,0
281,0,1,0,1,0,3
282,0,0,0,0,0,18
283,0,0,0,0,1,19
284,1,0,1,0,0,12
285,1,1,0,0,1,7
286,1,0,1,0,1,14
287,0,1,1,0,1,8
288,1,1,0,0,1,6
289,0,1,0,1,1,16
290,1,1,1,1,0,5
291,0,0,0,1,0,21
292,0,0,1,1,1,13
293,1,0,0,1,1,4
294,1,0,0,0,1,10
295,1,1,0,0,0,23
296,1,1,0,1,0,9
297,1,1,1,1,1,4
298,1,1,0,0,0,6
299,1,1,1,1,1,0
300,0,1,1,1,1,7
301,0,0,0,0,1,10
302,0,0,1,1,0,6
303,0,1,0,0,1,14
304,1,0,0,0,1,0
305,0,0,1,0,0,5
306,1,1,0,0,1,21
307,1,0,0,0,1,22
308,0,0,1,0,0,16
309,0,1,1,0,1,20
310,0,0,0,1,0,22
311,0,0,1,0,1,16
312,1,1,0,0,1,4
313,1,1,1,0,1,20
314,0,1,0,0,1,23
315,1,1,1,1,1,7
316,0,1,1,1,0,17
317,1,1,0,0,0,22
318,0,0,0,0,0,24
319,1,0,1,0,0,23
320,1,0,1,1,0,18
321,0,0,0,1,0,15
322,1,0,1,1,0,0
323,0,0,0,1,0,8
324,1,0,1,1,1,12
325,1,0,1,1,0,7
326,1,1,0,0,1,6
327,1,1,1,0,0,21
328,1,0,1,1,1,5
329,0,1,0,0,1,11
330,1,0,0,0,0,23
331,0,1,0,1,0,6
332,1,0,0,1,0,17
333,0,0,1,1,0,19
334,1,1,1,1,1,5
335,0,0,1,0,0,16
336,0,1,0,0,0,5
337,0,1,0,1,0,7
338,1,0,0,0,0,12
339,0,1,0,1,1,16
340,1,0,1,1,1,19
341,1,0,0,1,0,12
342,0,0,0,0,0,10
